
Host: kappa

Timers On : Fri Jul 29 10:05:57 2022
Timers Off: Fri Jul 29 10:06:35 2022

Wall Time:       37.79 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Hess: JK                            :      9.717u      0.033s      5.861w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.717u      0.000s      0.436w     13 calls
| Libint2ERI::Libint2ERI            :      0.433u      0.000s      0.278w     13 calls
DFH: initialize()                   :      3.517u      0.067s      2.852w     13 calls
| Libint2ERI::Libint2ERI            :      0.450u      0.000s      0.267w     26 calls
| DFH: AO Construction              :      2.033u      0.000s      1.209w     13 calls
| DFH: AO-Met. Contraction          :      0.433u      0.017s      0.277w     13 calls
HF: Form core H                     :      0.183u      0.017s      3.103w     12 calls
HF: Form S/X                        :      0.017u      0.000s      0.010w     12 calls
HF: Guess                           :      0.300u      0.000s      0.173w     12 calls
| SAD Guess                         :      0.283u      0.000s      0.166w      3 calls
HF: Form G                          :      1.667u      0.017s      0.943w    149 calls
| JK: D                             :      0.000u      0.000s      0.004w    149 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w    149 calls
| JK: JK                            :      1.667u      0.017s      0.928w    149 calls
| | DFH: compute_JK()               :      1.667u      0.017s      0.928w    149 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    149 calls
| | | DFH: compute_J                :      0.283u      0.017s      0.230w    149 calls
| | | DFH: compute_K                :      1.333u      0.000s      0.677w    149 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w    149 calls
HF: Form F                          :      0.017u      0.000s      0.003w    149 calls
HF: Form D                          :      0.000u      0.000s      0.002w    149 calls
HF: DIIS                            :      0.200u      0.000s      1.746w    146 calls
| DIISManager::add_entry            :      0.050u      0.000s      1.639w    137 calls
| DIISManager::extrapolate          :      0.033u      0.000s      0.031w    137 calls
| | bMatrix setup                   :      0.000u      0.000s      0.013w    137 calls
| | bMatrix pseudoinverse           :      0.017u      0.000s      0.007w    137 calls
| | New vector                      :      0.017u      0.000s      0.011w    137 calls
HF: Form C                          :      0.133u      0.017s      0.129w    146 calls
Grad: V T Perturb                   :      0.800u      0.033s      0.505w     11 calls
Grad: S                             :      0.000u      0.000s      0.014w     11 calls
Grad: JK                            :      8.800u      0.133s     13.596w     11 calls
| JKGrad: Amn                       :      2.300u      0.033s      1.375w     11 calls
| | Libint2ERI::Libint2ERI          :      0.367u      0.000s      0.226w     11 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     11 calls
| JKGrad: AB                        :      0.550u      0.033s      0.343w     11 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     11 calls
| JKGrad: UV                        :      0.033u      0.000s      0.025w     11 calls
| JKGrad: ABx                       :      0.200u      0.000s      0.147w     11 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.001w     11 calls
| JKGrad: Amnx                      :      5.683u      0.067s      3.419w     11 calls
| | Libint2ERI::Libint2ERI          :      0.400u      0.000s      0.227w     11 calls
Grad: XC                            :      0.000u      0.000s      0.000w     11 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.733u      0.100s      0.503w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.717u      0.033s      5.861w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.021w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w      3 calls
JK: D                               :      0.017u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.002w     16 calls
JK: JK                              :      4.917u      0.000s      2.949w     16 calls
| DFH: compute_JK()                 :      4.900u      0.000s      2.948w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      0.867u      0.000s      0.534w     16 calls
| | DFH: compute_K                  :      4.000u      0.000s      2.410w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     16 calls

**************************************************************************************

Host: kappa

Timers On : Fri Jul 29 13:39:17 2022
Timers Off: Fri Jul 29 13:39:53 2022

Wall Time:       35.66 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.367u      0.017s      0.238w      7 calls
Libint2ERI::Libint2ERI              :      0.867u      0.017s      0.546w     47 calls
DFH: initialize()                   :      1.967u      0.017s      1.348w      7 calls
DFH: AO Construction                :      1.100u      0.000s      0.651w      7 calls
DFH: AO-Met. Contraction            :      0.250u      0.000s      0.151w      7 calls
HF: Form core H                     :      0.100u      0.000s      0.578w      6 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      6 calls
HF: Guess                           :      0.300u      0.000s      0.174w      6 calls
SAD Guess                           :      0.283u      0.000s      0.167w      3 calls
HF: Form G                          :      0.717u      0.000s      0.441w     69 calls
JK: D                               :      0.000u      0.000s      0.004w     85 calls
JK: USO2AO                          :      0.017u      0.000s      0.012w     85 calls
JK: JK                              :      5.383u      0.000s      3.237w     85 calls
DFH: compute_JK()                   :      5.383u      0.000s      3.237w     85 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     85 calls
DFH: compute_J                      :      1.050u      0.000s      0.620w     85 calls
DFH: compute_K                      :      4.300u      0.000s      2.603w     85 calls
JK: AO2USO                          :      0.017u      0.000s      0.011w     85 calls
HF: Form F                          :      0.017u      0.000s      0.001w     69 calls
HF: Form D                          :      0.000u      0.000s      0.001w     69 calls
HF: DIIS                            :      0.067u      0.000s      0.213w     66 calls
DIISManager::add_entry              :      0.033u      0.000s      0.170w     63 calls
DIISManager::extrapolate            :      0.033u      0.000s      0.011w     63 calls
bMatrix setup                       :      0.017u      0.000s      0.004w     63 calls
bMatrix pseudoinverse               :      0.000u      0.000s      0.003w     63 calls
New vector                          :      0.000u      0.000s      0.003w     63 calls
HF: Form C                          :      0.067u      0.000s      0.041w     66 calls
Grad: V T Perturb                   :      0.400u      0.017s      0.232w      5 calls
Grad: S                             :      0.017u      0.000s      0.007w      5 calls
Grad: JK                            :      3.917u      0.050s      3.565w      5 calls
JKGrad: Amn                         :      1.017u      0.017s      0.623w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.233u      0.017s      0.161w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.011w      5 calls
JKGrad: ABx                         :      0.133u      0.000s      0.067w      5 calls
JKGrad: Amnx                        :      2.533u      0.000s      1.532w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.767u      0.100s      0.508w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.650u      0.050s      5.824w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.367u      0.017s      0.238w      7 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.017s      0.152w      7 calls
DFH: initialize()                   :      1.967u      0.017s      1.348w      7 calls
| Libint2ERI::Libint2ERI            :      0.233u      0.000s      0.143w     14 calls
| DFH: AO Construction              :      1.100u      0.000s      0.651w      7 calls
| DFH: AO-Met. Contraction          :      0.250u      0.000s      0.151w      7 calls
HF: Form core H                     :      0.100u      0.000s      0.578w      6 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w      6 calls
HF: Guess                           :      0.300u      0.000s      0.174w      6 calls
| SAD Guess                         :      0.283u      0.000s      0.167w      3 calls
HF: Form G                          :      0.717u      0.000s      0.441w     69 calls
| JK: D                             :      0.000u      0.000s      0.001w     69 calls
| JK: USO2AO                        :      0.017u      0.000s      0.005w     69 calls
| JK: JK                            :      0.683u      0.000s      0.424w     69 calls
| | DFH: compute_JK()               :      0.683u      0.000s      0.424w     69 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     69 calls
| | | DFH: compute_J                :      0.200u      0.000s      0.102w     69 calls
| | | DFH: compute_K                :      0.450u      0.000s      0.312w     69 calls
| JK: AO2USO                        :      0.017u      0.000s      0.007w     69 calls
HF: Form F                          :      0.017u      0.000s      0.001w     69 calls
HF: Form D                          :      0.000u      0.000s      0.001w     69 calls
HF: DIIS                            :      0.067u      0.000s      0.213w     66 calls
| DIISManager::add_entry            :      0.033u      0.000s      0.170w     63 calls
| DIISManager::extrapolate          :      0.033u      0.000s      0.011w     63 calls
| | bMatrix setup                   :      0.017u      0.000s      0.004w     63 calls
| | bMatrix pseudoinverse           :      0.000u      0.000s      0.003w     63 calls
| | New vector                      :      0.000u      0.000s      0.003w     63 calls
HF: Form C                          :      0.067u      0.000s      0.041w     66 calls
Grad: V T Perturb                   :      0.400u      0.017s      0.232w      5 calls
Grad: S                             :      0.017u      0.000s      0.007w      5 calls
Grad: JK                            :      3.917u      0.050s      3.565w      5 calls
| JKGrad: Amn                       :      1.017u      0.017s      0.623w      5 calls
| | Libint2ERI::Libint2ERI          :      0.167u      0.000s      0.104w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.233u      0.017s      0.161w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.011w      5 calls
| JKGrad: ABx                       :      0.133u      0.000s      0.067w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      2.533u      0.000s      1.532w      5 calls
| | Libint2ERI::Libint2ERI          :      0.167u      0.000s      0.103w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls
Hess: XC                            :      0.000u      0.000s      0.000w      1 calls
Hess: V                             :      0.767u      0.100s      0.508w      1 calls
Hess: T                             :      0.000u      0.000s      0.003w      1 calls
Hess: S                             :      0.000u      0.000s      0.001w      1 calls
Hess: JK                            :      9.650u      0.050s      5.824w      1 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.021w      3 calls
Libint2ERI::Libint2ERI              :      0.033u      0.000s      0.021w      3 calls
JK: D                               :      0.000u      0.000s      0.003w     16 calls
JK: USO2AO                          :      0.000u      0.000s      0.007w     16 calls
JK: JK                              :      4.700u      0.000s      2.813w     16 calls
| DFH: compute_JK()                 :      4.700u      0.000s      2.813w     16 calls
| | DFH: Grabbing AOs               :      0.000u      0.000s      0.000w     16 calls
| | DFH: compute_J                  :      0.850u      0.000s      0.518w     16 calls
| | DFH: compute_K                  :      3.850u      0.000s      2.291w     16 calls
JK: AO2USO                          :      0.000u      0.000s      0.004w     16 calls

**************************************************************************************
